,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
401,Samsung,Galaxy A50 2019 SM-A505F 4/128GB Black,Android,736,6687.0,6299.0,7154.0,16,6.4,128.0,4000.0,4-2019
402,Samsung,Galaxy A50 2019 SM-A505F 4/64GB Blue (SM-A505FZBU),Android,874,5527.0,5499.0,5555.0,2,6.4,64.0,4000.0,3-2019
403,Samsung,Galaxy A50 2019 SM-A505F 6/128GB Blue (SM-A505FZBQ),Android,712,6933.0,5999.0,7868.0,2,6.4,128.0,4000.0,3-2019
404,Samsung,Galaxy A50s 2019 SM-A507FD 6/128GB Black,Android,168,8243.0,8107.0,8518.0,8,6.4,128.0,4000.0,11-2019
405,Samsung,Galaxy A50s 2019 SM-A507FD 6/128GB Black,Android,118,8243.0,8107.0,8518.0,8,6.4,128.0,4000.0,11-2019
406,Samsung,Galaxy A50s 2019 SM-A507FD 6/128GB Black,Android,127,8243.0,8107.0,8518.0,8,6.4,128.0,4000.0,11-2019
407,Samsung,Galaxy A50s SM-A5070 6/128GB Prism Crush Green,Android,70,7159.0,6930.0,7979.0,5,6.4,128.0,4000.0,3-2020
408,Samsung,Galaxy A51 2020 4/64GB Black (SM-A515FZKU),Android,1192,7139.0,6497.0,7999.0,83,6.5,64.0,4000.0,1-2020
409,Samsung,Galaxy A51 2020 6/128GB Blue (SM-A515FZBW),Android,1177,8076.0,7436.0,8999.0,77,6.5,128.0,4000.0,1-2020
410,Samsung,Galaxy A51 SM-A515F 2020 8/128GB Blue,Android,783,8538.0,8230.0,9067.0,20,6.5,128.0,4000.0,7-2020
411,Samsung,Galaxy A51 SM-A515F 4/128GB Black,Android,970,7135.0,6870.0,7600.0,9,6.5,128.0,4000.0,3-2020
412,Samsung,Galaxy A51 SM-A515F 6/128GB Metallic Silver (SM-A515FMSW),Android,1039,8152.0,7436.0,8999.0,66,6.5,128.0,4000.0,7-2020
413,Samsung,Galaxy A6+ 3/32GB Gold (SM-A605FZDN),Android,205,7064.0,7032.0,7129.0,3,6.0,32.0,3500.0,5-2018
414,Samsung,Galaxy A6+ 3/32GB Lavender,Android,484,5292.0,5255.0,5330.0,2,6.0,32.0,3500.0,5-2018
