,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
0,ALCATEL,1 1/8GB Bluish Black (5033D-2JALUAA),Android,422,1690.0,1529.0,1819.0,36,5.0,8.0,2000.0,10-2020
1,ALCATEL,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),Android,323,1803.0,1659.0,2489.0,36,5.0,16.0,2000.0,9-2020
2,ALCATEL,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),Android,299,1803.0,1659.0,2489.0,36,5.0,16.0,2000.0,9-2020
3,ALCATEL,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),Android,287,1803.0,1659.0,2489.0,36,5.0,16.0,2000.0,9-2020
4,Nokia,1.3 1/16GB Charcoal,Android,1047,1999.0,,,10,5.71,16.0,3000.0,4-2020
5,Honor,10 6/64GB Black,Android,71,10865.0,10631.0,11099.0,2,5.8,64.0,3400.0,6-2018
6,Honor,10 Lite 3/32GB Blue,Android,424,3999.0,,,2,6.21,32.0,3400.0,12-2018
7,Honor,10 Lite 4/64GB Black,Android,134,4973.0,4733.0,5295.0,6,6.21,64.0,3400.0,1-2019
8,Honor,10 lite 3/128GB Blue,Android,477,5100.0,4990.0,5222.0,3,6.21,128.0,3400.0,1-2021
9,Honor,10 lite 3/64GB Black,Android,215,4948.0,4646.0,5372.0,8,6.21,64.0,3400.0,12-2018
10,Honor,10 lite 3/64GB Black,Android,179,4948.0,4646.0,5372.0,8,6.21,64.0,3400.0,12-2018
11,Honor,10 lite 3/64GB Blue,Android,437,5165.0,4897.0,5559.0,7,6.21,64.0,3400.0,12-2018
12,Nokia,105 DS 2019 Pink (16KIGP01A01),,18,583.0,528.0,649.0,28,1.77,0.004,800.0,10-2019
13,Nokia,105 Dual Sim 2019 Black (16KIGB01A01),,262,601.0,539.0,703.0,31,1.77,,800.0,11-2019
14,Nokia,105 Dual Sim 2019 Black (16KIGB01A01),,274,601.0,539.0,703.0,31,1.77,,800.0,11-2019
15,Nokia,105 Dual Sim New Black (A00028315),,507,552.0,499.0,606.0,2,1.8,0.004,800.0,9-2017
16,Nokia,105 Single Sim 2019 Black (16KIGB01A13),,805,536.0,449.0,642.0,31,1.77,,800.0,11-2019
17,Nokia,105 Single Sim 2019 Pink (16KIGP01A13),,692,547.0,496.0,709.0,35,1.77,,800.0,11-2019
18,Nokia,105 Single Sim New Black (A00028356),,460,663.0,499.0,1169.0,5,1.8,0.004,800.0,9-2017
19,Nokia,105 Single Sim New Black (A00028356),,455,663.0,499.0,1169.0,5,1.8,0.004,800.0,9-2017
20,Nokia,105 Single Sim New Blue (A00028372),,378,474.0,450.0,499.0,2,1.8,0.004,800.0,9-2017
21,Nokia,105 Single Sim New White (A00028371),,59,499.0,,,1,1.8,0.004,800.0,9-2017
22,Nokia,106 New DS Grey (16NEBD01A02),,838,596.0,544.0,699.0,35,1.8,,800.0,1-2019
23,Nokia,106 New DS Grey (16NEBD01A02),,841,596.0,544.0,699.0,35,1.8,,800.0,1-2019
24,Honor,10i 4/128GB Black (51093VQV),Android,532,5499.0,,,2,6.21,128.0,3400.0,5-2019
25,Honor,10i 4/128GB Blue (51093VQX),Android,444,5499.0,,,2,6.21,128.0,3400.0,5-2019
26,Nokia,110 Dual Sim 2019 Black (16NKLB01A07),,471,710.0,640.0,1164.0,34,1.77,,800.0,11-2019
27,Nokia,110 Dual Sim 2019 Blue (16NKLL01A04),,248,702.0,640.0,909.0,36,1.77,,800.0,11-2019
28,Nokia,125 Dual Sim Black (16GMNB01A17),,807,992.0,899.0,1249.0,50,2.4,,1020.0,7-2020
29,Meizu,15 4/128GB Black,Android,490,6584.0,,,1,5.45,128.0,3000.0,5-2018
30,Meizu,15 4/64GB Black,Android,166,5272.0,4970.0,5448.0,3,5.45,64.0,3000.0,5-2018
31,Meizu,15 4/64GB Black,Android,125,5272.0,4970.0,5448.0,3,5.45,64.0,3000.0,5-2018
32,Meizu,15 4/64GB Black,Android,116,5272.0,4970.0,5448.0,3,5.45,64.0,3000.0,5-2018
33,Meizu,15 Plus 6/64GB Black,Android,666,5328.0,,,1,5.95,64.0,3500.0,6-2018
34,Meizu,15 Plus 6/64GB Gray,Android,415,5328.0,,,1,5.95,64.0,3500.0,6-2018
35,Meizu,15 Plus 6/64GB Gray,Android,405,5328.0,,,1,5.95,64.0,3500.0,6-2018
36,Nokia,150 Black,,920,1180.0,959.0,1479.0,61,2.4,,1020.0,2-2017
37,Nokia,150 Dual Sim Cyan (16GMNE01A04),,543,1190.0,1090.0,1479.0,39,2.4,,1020.0,7-2020
38,Nokia,150 Dual Sim Red (16GMNR01A02),,835,1196.0,1090.0,1529.0,39,2.4,,1020.0,7-2020
39,Nokia,150 White,,645,1090.0,959.0,1566.0,12,2.4,,1020.0,2-2017
